id	x	y	cluster	weight<Links>	weight<Total link strength>
133	1.0632	0.1796	1	4534	58.9597
1330	1.1552	-0.0809	1	4534	317.8079
1331	-0.3284	-0.4477	2	4534	765.2777
1332	-0.9044	0.2607	3	4534	254.4325
1333	0.5122	0.4116	4	4534	155.4609
1334	1.1975	-0.0648	1	4534	387.3906
1335	0.4893	0.2258	5	4534	219.946
1336	0.7879	0.0062	1	4534	224.0522
1337	-0.4626	-0.3416	2	4534	838.8145
1338	-0.5337	-0.3632	2	4534	754.5297
1339	0.9533	-0.324	1	4534	445.4424
134	-0.3695	-0.4143	5	4534	431.041
1340	0.1258	-0.4577	2	4534	818.345
1341	-0.0703	0.3126	4	4534	286.6226
1342	-0.2878	0.3394	4	4534	360.2562
1343	1.0357	-0.3616	1	4534	633.4512
1344	-0.6499	-0.299	2	4534	422.7616
1345	1.1324	0.4921	1	4534	148.4858
1346	0.2275	0.0615	1	4534	328.0748
1347	1.1131	0.0601	1	4534	263.8697
1348	1.277	-0.2252	1	4534	319.7553
1349	0.6648	-0.0745	5	4534	377.3977
135	-0.971	0.2798	3	4534	302.0712
1350	0.2699	-0.0071	5	4534	218.28
1351	-0.6331	-0.446	2	4534	861.5053
1352	0.0852	0.579	4	4534	90.9194
1353	1.1352	-0.2275	1	4534	586.9988
1354	-0.4715	0.3044	4	4534	375.4254
1355	1.1762	-0.0487	1	4534	304.0016
1356	-0.8842	-0.0054	3	4534	452.9199
1357	-0.4999	-0.4051	2	4534	932.6921
1358	1.1386	0.1733	1	4534	84.3087
1359	-1.0303	-0.117	3	4534	474.4404
136	-0.7932	-0.2057	2	4534	848.1299
1360	-0.4609	-0.3997	2	4534	657.653
1361	1.0929	-0.2975	1	4534	624.8832
1362	0.2924	0.0007	5	4534	296.3918
1363	-0.4823	0.5062	4	4534	192.0254
1364	0.1158	-0.0158	5	4534	107.1151
1365	-0.6226	-0.3828	2	4534	767.8001
1366	1.1927	0.0342	1	4534	460.9861
1367	-0.6889	-0.2052	2	4534	733.5315
1368	-0.3869	-0.2733	2	4534	630.0855
1369	0.951	-0.1478	1	4534	543.3557
137	-0.6343	0.3972	4	4534	222.1934
1370	0.6289	-0.2915	1	4534	371.1887
1371	-0.888	-0.2323	2	4534	650.6264
1372	-0.8487	0.0504	3	4534	359.693
1373	1.1252	-0.1685	1	4534	435.1161
1374	-0.9332	0.0472	3	4534	355.6723
1375	0.2093	0.0663	5	4534	310.7971
1376	-0.9503	0.2438	3	4534	433.4947
1377	1.0746	-0.2812	1	4534	618.4957
1378	0.7734	0.0909	1	4534	233.9146
1379	-0.6907	-0.1486	3	4534	634.8231
138	0.6076	0.1937	1	4534	403.0109
1380	1.1378	0.4732	1	4534	156.8644
1381	-0.8123	0.0907	3	4534	381.7773
1382	1.1533	-0.1841	1	4534	567.3022
1383	0.9678	-0.3906	1	4534	433.7286
1384	1.2856	-0.2161	1	4534	320.3422
1385	-0.3741	-0.2592	5	4534	601.1393
1386	-1.0491	-0.1285	3	4534	409.1844
1387	1.2313	-0.0445	1	4534	418.7414
1388	-0.9729	0.2774	3	4534	384.5795
1389	0.6318	-0.3607	1	4534	695.3229
139	0.0269	-0.167	5	4534	451.6666
1390	-0.6284	-0.2222	2	4534	653.0994
1391	-1.0077	0.0072	3	4534	302.877
1392	-1.0415	0.2793	3	4534	246.738
1393	-0.4039	-0.0923	2	4534	715.305
1394	1.1415	-0.2691	1	4534	616.521
1395	-0.8833	0.1178	3	4534	150.3279
1396	-0.0891	-0.2901	5	4534	634.7513
1397	-1.0043	0.0252	3	4534	482.2817
1398	1.2717	-0.187	1	4534	395.8647
1399	-1.033	-0.0259	3	4534	575.5982
14	1.2103	-0.2451	1	4534	538.0518
140	-0.8403	-0.0891	2	4534	458.2611
1400	-0.4081	-0.4386	2	4534	836.5719
1401	0.3735	0.1237	5	4534	247.4838
1402	0.1528	0.2026	5	4534	321.6038
1403	0.9739	-0.1419	1	4534	329.827
1404	-0.6781	0.3761	3	4534	290.7362
1405	0.6859	0.0352	1	4534	126.7448
1406	1.2298	-0.1939	1	4534	494.5175
1407	0.1495	-0.0032	5	4534	338.4386
1408	-0.695	-0.2956	2	4534	836.2855
1409	0.682	0.154	5	4534	193.5093
141	1.2446	-0.2215	1	4534	427.2531
1410	0.652	-0.4125	1	4534	584.3799
1411	0.6035	0.2397	1	4534	341.7073
1412	0.9764	0.1369	1	4534	256.2428
1413	0.9931	0.3488	1	4534	191.7392
1414	-0.2669	-0.3488	2	4534	652.4316
1415	0.1843	0.0104	5	4534	345.123
1416	0.438	0.4501	4	4534	113.9155
1417	-0.0334	0.622	4	4534	61.5715
1418	-0.678	-0.144	2	4534	914.414
1419	-0.9353	0.113	3	4534	373.6938
142	-1.0932	0.179	3	4534	253.6484
